# wave (µm)	R (µW cm-2 sr-1 µm-1)
6.53049994e+00	9.30893720e-02
6.53149986e+00	9.51235820e-02
6.53249979e+00	1.20853980e-01
6.53350019e+00	1.44391690e-01
6.53450012e+00	1.53144120e-01
6.53550005e+00	1.54335440e-01
6.53649998e+00	1.60417020e-01
6.53749990e+00	1.50635450e-01
6.53849983e+00	1.31381910e-01
6.53950024e+00	1.38894800e-01
6.54050016e+00	1.49459530e-01
6.54150009e+00	1.36093120e-01
6.54250002e+00	1.14710810e-01
6.54349995e+00	1.32518960e-01
6.54449987e+00	1.84489290e-01
6.54549980e+00	2.05013930e-01
6.54650021e+00	1.75201730e-01
6.54750013e+00	1.28218610e-01
6.54850006e+00	1.09928250e-01
6.54949999e+00	1.50331660e-01
6.55049992e+00	2.03320280e-01
6.55149984e+00	2.11363910e-01
6.55249977e+00	1.72042040e-01
6.55350018e+00	1.31575540e-01
6.55450010e+00	1.52801160e-01
6.55550003e+00	2.23870890e-01
6.55649996e+00	2.57755100e-01
6.55749989e+00	2.03355490e-01
6.55849981e+00	1.36016550e-01
6.55950022e+00	1.65651250e-01
6.56050014e+00	2.41250800e-01
6.56150007e+00	2.98519430e-01
6.56250000e+00	3.15015170e-01
6.56349993e+00	2.80847670e-01
6.56449986e+00	2.43259060e-01
6.56549978e+00	2.09126350e-01
6.56650019e+00	1.60409110e-01
6.56750011e+00	1.54742230e-01
6.56850004e+00	1.59095000e-01
6.56949997e+00	1.70508060e-01
6.57049990e+00	2.06065850e-01
6.57149982e+00	2.07983640e-01
6.57250023e+00	1.79370910e-01
6.57350016e+00	1.67974370e-01
6.57450008e+00	1.72466410e-01
6.57550001e+00	1.73241150e-01
6.57649994e+00	2.00368700e-01
6.57749987e+00	2.52832260e-01
6.57849979e+00	2.92464440e-01
6.57950020e+00	2.78779600e-01
6.58050013e+00	1.99294490e-01
6.58150005e+00	1.94970250e-01
6.58249998e+00	2.67756460e-01
6.58349991e+00	3.09383510e-01
6.58449984e+00	3.29176310e-01
6.58549976e+00	3.31416990e-01
6.58650017e+00	2.83537360e-01
6.58750010e+00	2.67564650e-01
6.58850002e+00	3.00116810e-01
6.58949995e+00	2.84347980e-01
6.59049988e+00	2.41145670e-01
6.59149981e+00	1.72158840e-01
6.59250021e+00	9.81079340e-02
6.59350014e+00	9.21731810e-02
6.59450006e+00	1.48668080e-01
6.59549999e+00	1.79519330e-01
6.59649992e+00	1.62649650e-01
6.59749985e+00	1.34712370e-01
