# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.66050005e+00	3.62826210e-02
5.66149998e+00	2.33390670e-02
5.66249990e+00	2.62717140e-02
5.66349983e+00	2.62058620e-02
5.66450024e+00	2.61871480e-02
5.66550016e+00	3.15432140e-02
5.66650009e+00	2.18676550e-02
5.66750002e+00	1.91023760e-02
5.66849995e+00	2.78104250e-02
5.66949987e+00	3.11276760e-02
5.67049980e+00	2.65880000e-02
5.67150021e+00	3.16239820e-02
5.67250013e+00	5.50959930e-02
5.67350006e+00	8.68788060e-02
5.67449999e+00	1.01014290e-01
5.67549992e+00	9.57188530e-02
5.67649984e+00	7.98082950e-02
5.67749977e+00	5.84973470e-02
5.67850018e+00	3.21969580e-02
5.67950010e+00	1.62582270e-02
5.68050003e+00	1.84466390e-02
5.68149996e+00	1.95453780e-02
5.68249989e+00	1.23755750e-02
5.68349981e+00	1.43961440e-02
5.68450022e+00	2.94725670e-02
5.68550014e+00	4.11908370e-02
5.68650007e+00	3.62723540e-02
5.68750000e+00	2.56772080e-02
5.68849993e+00	2.29427140e-02
5.68949986e+00	4.19276690e-02
5.69049978e+00	7.03563240e-02
5.69150019e+00	8.61333460e-02
5.69250011e+00	9.27269460e-02
5.69350004e+00	8.92364230e-02
5.69449997e+00	7.01764080e-02
5.69549990e+00	5.51906560e-02
5.69649982e+00	4.31469720e-02
5.69750023e+00	2.28650640e-02
5.69850016e+00	2.66390980e-02
5.69950008e+00	5.45195010e-02
5.70050001e+00	8.45999050e-02
5.70149994e+00	1.05526830e-01
5.70249987e+00	1.13430840e-01
5.70349979e+00	1.10427630e-01
5.70450020e+00	9.71564200e-02
5.70550013e+00	7.59606810e-02
5.70650005e+00	5.04781490e-02
5.70749998e+00	2.55263580e-02
5.70849991e+00	1.56874430e-02
5.70949984e+00	1.90108420e-02
5.71049976e+00	1.60996210e-02
5.71150017e+00	2.31731870e-02
5.71250010e+00	3.99296170e-02
5.71350002e+00	4.57666440e-02
5.71449995e+00	6.40826370e-02
5.71549988e+00	8.94747900e-02
5.71649981e+00	9.89309250e-02
5.71750021e+00	9.17678400e-02
5.71850014e+00	7.04080160e-02
5.71950006e+00	4.11626990e-02
5.72049999e+00	2.28478180e-02
5.72149992e+00	2.95904470e-02
5.72249985e+00	3.83156310e-02
5.72349977e+00	5.25032620e-02
5.72450018e+00	5.28048350e-02
5.72550011e+00	3.67386380e-02
5.72650003e+00	4.22956870e-02
5.72749996e+00	4.28768210e-02
5.72849989e+00	3.14034110e-02
5.72949982e+00	2.49405060e-02
5.73050022e+00	1.38076320e-02
5.73150015e+00	1.06095630e-02
5.73250008e+00	1.87147560e-02
5.73350000e+00	2.66580510e-02
5.73449993e+00	2.23595760e-02
5.73549986e+00	2.64423020e-02
5.73649979e+00	2.80687830e-02
5.73750019e+00	2.67676560e-02
5.73850012e+00	2.57970580e-02
5.73950005e+00	2.82827650e-02
5.74049997e+00	4.04057200e-02
5.74149990e+00	3.46470740e-02
5.74249983e+00	2.44863500e-02
5.74350023e+00	2.93899790e-02
5.74450016e+00	2.44041660e-02
5.74550009e+00	1.57725830e-02
5.74650002e+00	1.37970850e-02
