# wave (µm)	R (µW cm-2 sr-1 µm-1)
4.90049982e+00	9.08035460e-01
4.90150023e+00	9.88028350e-01
4.90250015e+00	1.03072980e+00
4.90350008e+00	1.01323800e+00
4.90450001e+00	1.01106820e+00
4.90549994e+00	1.04022090e+00
4.90649986e+00	1.01440660e+00
4.90749979e+00	9.27576660e-01
4.90850019e+00	8.92612580e-01
4.90950012e+00	9.80511670e-01
4.91050100e+00	1.13871490e+00
4.91149998e+00	1.21754100e+00
4.91249990e+00	1.21585600e+00
4.91349983e+00	1.10641680e+00
4.91450024e+00	1.02937840e+00
4.91550016e+00	1.05148420e+00
4.91650009e+00	1.14342030e+00
4.91750002e+00	1.17190300e+00
4.91849995e+00	1.09259740e+00
4.91949987e+00	1.14753060e+00
4.92049980e+00	1.20553300e+00
4.92150021e+00	1.10919860e+00
4.92250013e+00	9.36256470e-01
4.92350006e+00	9.60924450e-01
4.92449999e+00	1.05375830e+00
4.92549992e+00	1.03007660e+00
4.92649984e+00	9.68841850e-01
4.92749977e+00	1.01483380e+00
4.92850018e+00	1.07948430e+00
4.92950010e+00	1.13779830e+00
4.93050098e+00	1.09401550e+00
4.93149996e+00	1.04218470e+00
4.93249989e+00	1.00108990e+00
4.93349981e+00	9.07807710e-01
4.93450022e+00	9.20380890e-01
4.93550014e+00	1.03737620e+00
4.93650007e+00	1.10139270e+00
4.93750000e+00	1.06380390e+00
4.93849993e+00	1.04336400e+00
4.93949986e+00	1.06823050e+00
4.94049978e+00	1.05815030e+00
4.94150019e+00	1.02154710e+00
4.94250011e+00	9.65822580e-01
4.94350100e+00	9.39607920e-01
4.94449997e+00	1.01634490e+00
4.94549990e+00	1.06594720e+00
4.94649982e+00	1.03020750e+00
4.94750023e+00	9.19137480e-01
4.94850016e+00	9.61448310e-01
4.94950008e+00	1.00899660e+00
4.95050001e+00	9.73965350e-01
4.95149994e+00	8.97663410e-01
4.95249987e+00	8.75944970e-01
4.95349979e+00	8.47751980e-01
4.95450020e+00	8.14726230e-01
4.95550013e+00	8.65642250e-01
4.95650101e+00	9.13899120e-01
4.95749998e+00	8.64293690e-01
4.95849991e+00	8.21332040e-01
4.95949984e+00	8.50377680e-01
4.96049976e+00	9.59530890e-01
4.96150017e+00	1.04966910e+00
4.96250010e+00	1.08505750e+00
4.96350002e+00	1.05778570e+00
4.96449995e+00	1.07249120e+00
4.96549988e+00	1.08840260e+00
4.96649981e+00	1.08607600e+00
4.96750021e+00	1.16095350e+00
4.96850014e+00	1.20265880e+00
4.96950102e+00	1.26725880e+00
4.97049999e+00	1.29460980e+00
4.97149992e+00	1.22132740e+00
4.97249985e+00	1.05951950e+00
4.97349977e+00	1.08745590e+00
4.97450018e+00	1.17038370e+00
4.97550011e+00	1.12266850e+00
4.97650099e+00	9.86854080e-01
4.97749996e+00	9.83720360e-01
4.97849989e+00	1.06192650e+00
4.97949982e+00	9.85521850e-01
4.98050022e+00	9.42328210e-01
4.98150015e+00	1.05244090e+00
4.98250008e+00	1.12426130e+00
4.98350000e+00	1.10606010e+00
4.98449993e+00	1.23528590e+00
4.98549986e+00	1.31681940e+00
4.98649979e+00	1.35534450e+00
4.98750019e+00	1.45481790e+00
4.98850012e+00	1.56149320e+00
4.98950100e+00	1.53941640e+00
4.99049997e+00	1.48204970e+00
4.99149990e+00	1.44085010e+00
4.99249983e+00	1.46745420e+00
4.99350023e+00	1.40043700e+00
4.99450016e+00	1.28512980e+00
4.99550009e+00	1.36084160e+00
4.99650002e+00	1.46181540e+00
4.99749994e+00	1.42983870e+00
4.99849987e+00	1.31098650e+00
4.99949980e+00	1.25604630e+00
5.00050020e+00	1.22159650e+00
5.00150013e+00	1.12011850e+00
5.00250101e+00	1.03015630e+00
5.00349998e+00	1.08515380e+00
5.00449991e+00	1.20746900e+00
5.00549984e+00	1.25726930e+00
5.00649977e+00	1.23638890e+00
5.00750017e+00	1.23501600e+00
5.00850010e+00	1.20808660e+00
5.00950098e+00	1.10753950e+00
5.01049995e+00	1.07498620e+00
5.01149988e+00	1.08958920e+00
5.01249981e+00	1.11429810e+00
5.01350021e+00	1.14844970e+00
5.01450014e+00	1.12464130e+00
5.01550007e+00	1.05796690e+00
5.01650000e+00	9.88759340e-01
5.01749992e+00	9.36632450e-01
5.01849985e+00	8.86622670e-01
5.01949978e+00	8.42029630e-01
5.02050018e+00	8.20317860e-01
5.02150011e+00	8.88458190e-01
5.02250099e+00	9.70790570e-01
5.02349997e+00	1.04621110e+00
5.02449989e+00	1.07688570e+00
5.02549982e+00	1.07756170e+00
5.02650023e+00	1.07526670e+00
5.02750015e+00	1.01020100e+00
5.02850008e+00	9.16061880e-01
5.02950001e+00	9.14727630e-01
5.03049994e+00	1.02317250e+00
5.03149986e+00	1.12070670e+00
5.03249979e+00	1.18043160e+00
5.03350019e+00	1.24378240e+00
5.03450012e+00	1.30361700e+00
5.03550100e+00	1.30690810e+00
5.03649998e+00	1.32806650e+00
5.03749990e+00	1.40521190e+00
5.03849983e+00	1.41737870e+00
5.03950024e+00	1.43251540e+00
5.04050016e+00	1.46931350e+00
5.04150009e+00	1.51246980e+00
5.04250002e+00	1.58714150e+00
5.04349995e+00	1.63210020e+00
5.04449987e+00	1.65712320e+00
5.04549980e+00	1.68257050e+00
