# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.00209999e+01	3.56900720e+00
1.00229998e+01	3.53878710e+00
1.00249996e+01	3.50012040e+00
1.00270004e+01	3.45708200e+00
1.00290003e+01	3.41591450e+00
1.00310001e+01	3.37956090e+00
1.00330000e+01	3.31593990e+00
1.00349999e+01	3.25102760e+00
1.00369997e+01	3.18721910e+00
1.00389996e+01	3.11215730e+00
1.00410004e+01	3.03238110e+00
1.00430002e+01	2.95350410e+00
1.00450001e+01	2.86444590e+00
1.00469999e+01	2.75488690e+00
1.00489998e+01	2.63389420e+00
1.00509996e+01	2.54466030e+00
1.00530005e+01	2.45833400e+00
1.00550003e+01	2.33906790e+00
1.00570002e+01	2.19196320e+00
1.00590000e+01	2.03048040e+00
1.00609999e+01	1.87473490e+00
1.00629997e+01	1.71872440e+00
1.00649996e+01	1.54773880e+00
1.00670004e+01	1.34701930e+00
1.00690002e+01	1.08672560e+00
1.00710001e+01	8.24104790e-01
1.00729999e+01	6.41745150e-01
1.00749998e+01	6.21491490e-01
1.00769997e+01	6.74809630e-01
1.00790005e+01	7.06529380e-01
1.00810003e+01	5.93685870e-01
1.00830002e+01	6.05505470e-01
1.00850000e+01	7.46872600e-01
1.00869999e+01	9.91925950e-01
1.00889997e+01	1.20897050e+00
1.00909996e+01	1.32533690e+00
1.00930004e+01	1.22519590e+00
1.00950003e+01	1.22588210e+00
1.00970001e+01	1.00787520e+00
1.00990000e+01	1.12395890e+00
1.01009998e+01	1.27683580e+00
1.01029997e+01	1.34369340e+00
1.01049995e+01	1.23633150e+00
1.01070003e+01	1.28817370e+00
1.01090002e+01	1.66818130e+00
1.01110001e+01	1.79030870e+00
1.01129999e+01	1.51570700e+00
1.01149998e+01	1.55102030e+00
1.01169996e+01	2.03705360e+00
1.01190004e+01	2.31746440e+00
1.01210003e+01	2.20818140e+00
1.01230001e+01	2.26310520e+00
1.01250000e+01	2.27633640e+00
1.01269999e+01	2.36660720e+00
1.01289997e+01	2.69071320e+00
1.01309996e+01	2.71278020e+00
1.01330004e+01	2.16019340e+00
1.01350002e+01	2.28600550e+00
1.01370001e+01	2.94642660e+00
1.01389999e+01	3.27322030e+00
1.01409998e+01	3.39955690e+00
1.01429997e+01	3.00629450e+00
1.01450005e+01	2.96266980e+00
1.01470003e+01	3.41307040e+00
1.01490002e+01	3.61844020e+00
1.01510000e+01	3.66067270e+00
1.01529999e+01	3.47478960e+00
1.01549997e+01	3.38540960e+00
1.01569996e+01	3.26170950e+00
1.01590004e+01	3.44910600e+00
1.01610003e+01	3.57433650e+00
1.01630001e+01	3.50667620e+00
1.01650000e+01	3.67251590e+00
1.01669998e+01	3.49446080e+00
1.01689997e+01	2.85790370e+00
1.01709995e+01	2.53843210e+00
1.01730003e+01	3.41066270e+00
1.01750002e+01	3.95548610e+00
1.01770001e+01	4.04899500e+00
1.01789999e+01	4.01832100e+00
1.01809998e+01	3.84570190e+00
1.01829996e+01	3.65491200e+00
1.01850004e+01	3.88058520e+00
1.01870003e+01	4.07746600e+00
1.01890001e+01	4.12717530e+00
1.01910000e+01	4.05245490e+00
1.01929998e+01	3.93572640e+00
1.01949997e+01	3.95991400e+00
1.01969995e+01	4.01691530e+00
