# wave (µm)	R (µW cm-2 sr-1 µm-1)
8.66899967e+00	1.67077140e+00
8.67099953e+00	8.84920540e-01
8.67300034e+00	1.42874160e+00
8.67500019e+00	1.63723700e+00
8.67700005e+00	1.96830640e+00
8.67899990e+00	2.31004550e+00
8.68099976e+00	2.10503820e+00
8.68299961e+00	1.63232660e+00
8.68500042e+00	1.27203140e+00
8.68700027e+00	2.36752720e+00
8.68900013e+00	2.47473500e+00
8.69099998e+00	2.27361230e+00
8.69299984e+00	1.60041690e+00
8.69499969e+00	1.44380640e+00
8.69699955e+00	2.73886560e+00
8.69900036e+00	3.14032630e+00
8.70100021e+00	2.86225010e+00
8.70300007e+00	2.81593890e+00
8.70499992e+00	3.12825300e+00
8.70699978e+00	2.97524000e+00
8.70899963e+00	3.21665620e+00
8.71100044e+00	2.72172710e+00
8.71300030e+00	1.97548460e+00
8.71500015e+00	2.23562260e+00
8.71700001e+00	2.89275340e+00
8.71899986e+00	3.30453780e+00
8.72099972e+00	3.19478850e+00
8.72299957e+00	3.16618250e+00
8.72500038e+00	3.09929630e+00
8.72700024e+00	2.88369250e+00
8.72900009e+00	2.82709430e+00
8.73099995e+00	2.93493030e+00
8.73299980e+00	2.78686690e+00
8.73499966e+00	2.76060460e+00
8.73700047e+00	2.88457680e+00
8.73900032e+00	2.25477790e+00
8.74100018e+00	1.86638410e+00
8.74300003e+00	1.99034820e+00
8.74499989e+00	1.83315090e+00
8.74699974e+00	2.05183030e+00
8.74899960e+00	2.64893390e+00
8.75100040e+00	2.48165680e+00
8.75300026e+00	2.24683640e+00
8.75500011e+00	1.88515530e+00
8.75699997e+00	1.16985120e+00
8.75899982e+00	1.28550910e+00
8.76099968e+00	1.67562150e+00
8.76299953e+00	1.49164510e+00
8.76500034e+00	9.93679940e-01
8.76700020e+00	6.66493240e-01
8.76900005e+00	8.16716430e-01
8.77099991e+00	8.95110370e-01
8.77299976e+00	1.32486280e+00
8.77499962e+00	1.56263290e+00
8.77700043e+00	1.72899330e+00
8.77900028e+00	1.89584390e+00
8.78100014e+00	2.29360750e+00
8.78299999e+00	2.53649450e+00
8.78499985e+00	2.36598610e+00
8.78699970e+00	2.03731470e+00
8.78899956e+00	2.00582740e+00
8.79100037e+00	2.15095210e+00
8.79300022e+00	2.17489220e+00
8.79500008e+00	2.24512720e+00
8.79699993e+00	2.02774860e+00
8.79899979e+00	2.22889330e+00
8.80099964e+00	2.05524370e+00
8.80300045e+00	2.13453030e+00
8.80500031e+00	2.03082040e+00
8.80700016e+00	1.43514500e+00
8.80900002e+00	1.76552830e+00
8.81099987e+00	2.31957700e+00
8.81299973e+00	2.59159470e+00
8.81499958e+00	2.50585410e+00
8.81700039e+00	2.41005280e+00
8.81900024e+00	1.98262870e+00
8.82100010e+00	2.10357860e+00
8.82299995e+00	2.24768350e+00
8.82499981e+00	2.69226670e+00
8.82699966e+00	2.43029240e+00
8.82900047e+00	2.16802530e+00
8.83100033e+00	2.31637550e+00
8.83300018e+00	2.10711880e+00
8.83500004e+00	1.46251670e+00
8.83699989e+00	1.25605880e+00
8.83899975e+00	1.76729070e+00
8.84099960e+00	2.20262460e+00
8.84300041e+00	1.90016600e+00
8.84500027e+00	1.30044200e+00
8.84700012e+00	1.10941460e+00
8.84899998e+00	1.64977860e+00
8.85099983e+00	2.48187210e+00
8.85299969e+00	2.27907660e+00
8.85499954e+00	1.60358670e+00
8.85700035e+00	1.24500910e+00
8.85900021e+00	1.53263890e+00
8.86100006e+00	2.47651550e+00
8.86299992e+00	2.74918270e+00
8.86499977e+00	2.82240490e+00
8.86699963e+00	2.57418060e+00
8.86900043e+00	1.67824710e+00
8.87100029e+00	1.77928140e+00
8.87300014e+00	2.34445570e+00
8.87500000e+00	2.01817180e+00
8.87699986e+00	1.66598880e+00
8.87899971e+00	1.87991820e+00
8.88099957e+00	1.54215320e+00
8.88300037e+00	1.97201980e+00
8.88500023e+00	2.56065870e+00
8.88700008e+00	2.60413380e+00
8.88899994e+00	2.12653350e+00
8.89099979e+00	1.76535110e+00
8.89299965e+00	2.00422100e+00
8.89500046e+00	1.72366990e+00
8.89700031e+00	1.58450680e+00
8.89900017e+00	1.85431390e+00
8.90100002e+00	1.82877080e+00
8.90299988e+00	1.76138510e+00
8.90499973e+00	1.46129680e+00
8.90699959e+00	1.11052420e+00
8.90900040e+00	7.91803540e-01
8.91100025e+00	4.62145510e-01
8.91300011e+00	3.99276230e-01
8.91499996e+00	3.46055030e-01
8.91699982e+00	3.35351850e-01
8.91899967e+00	4.37900220e-01
8.92099953e+00	7.19365540e-01
8.92300034e+00	8.87637670e-01
8.92500019e+00	8.71935490e-01
8.92700005e+00	9.28593990e-01
8.92899990e+00	8.71070500e-01
8.93099976e+00	9.77019910e-01
8.93299961e+00	8.58655570e-01
8.93500042e+00	8.61282770e-01
8.93700027e+00	1.14783840e+00
8.93900013e+00	1.22445730e+00
8.94099998e+00	1.40496170e+00
8.94299984e+00	1.46358530e+00
8.94499969e+00	1.11871860e+00
8.94699955e+00	9.48947370e-01
8.94900036e+00	9.52549460e-01
8.95100021e+00	1.19498430e+00
8.95300007e+00	9.46336810e-01
8.95499992e+00	1.20045880e+00
8.95699978e+00	1.76034780e+00
8.95899963e+00	1.19959200e+00
8.96100044e+00	1.04463460e+00
8.96300030e+00	1.77792860e+00
8.96500015e+00	1.67888690e+00
8.96700001e+00	1.28836640e+00
8.96899986e+00	1.61149700e+00
8.97099972e+00	1.33347330e+00
8.97299957e+00	1.42350850e+00
8.97500038e+00	1.94123590e+00
8.97700024e+00	2.26030180e+00
8.97900009e+00	2.65445920e+00
8.98099995e+00	2.44479160e+00
8.98299980e+00	1.77763030e+00
8.98499966e+00	1.48986160e+00
8.98700047e+00	2.08416820e+00
8.98900032e+00	2.49948530e+00
8.99100018e+00	2.25685760e+00
8.99300003e+00	2.38249520e+00
8.99499989e+00	2.79648520e+00
8.99699974e+00	2.76436920e+00
8.99899960e+00	2.36448740e+00
9.00100040e+00	1.77009310e+00
9.00300026e+00	1.28774550e+00
9.00500011e+00	1.64542440e+00
9.00699997e+00	2.10333730e+00
9.00899982e+00	1.74348390e+00
9.01099968e+00	2.07342840e+00
9.01299953e+00	2.67032690e+00
9.01500034e+00	2.92123680e+00
9.01700020e+00	2.89890410e+00
9.01900005e+00	2.62618590e+00
9.02099991e+00	2.61174800e+00
9.02299976e+00	2.42334390e+00
9.02499962e+00	1.81036480e+00
9.02700043e+00	1.54666600e+00
9.02900028e+00	1.94415770e+00
9.03100014e+00	2.16714310e+00
9.03299999e+00	2.53370380e+00
9.03499985e+00	2.66322420e+00
9.03699970e+00	2.57507210e+00
9.03899956e+00	2.50825290e+00
9.04100037e+00	2.44354390e+00
9.04300022e+00	2.39330150e+00
9.04500008e+00	2.28046230e+00
9.04699993e+00	2.10984950e+00
9.04899979e+00	1.89141680e+00
9.05099964e+00	1.75945410e+00
9.05300045e+00	1.53996430e+00
9.05500031e+00	1.19929580e+00
9.05700016e+00	1.05592020e+00
9.05900002e+00	7.90374520e-01
9.06099987e+00	5.05160390e-01
9.06299973e+00	4.20333530e-01
9.06499958e+00	7.51094820e-01
9.06700039e+00	1.10488100e+00
9.06900024e+00	1.37340020e+00
9.07100010e+00	1.57944580e+00
9.07299995e+00	1.78560100e+00
9.07499981e+00	1.93863730e+00
9.07699966e+00	2.05216030e+00
9.07900047e+00	1.87154440e+00
9.08100033e+00	1.67203890e+00
9.08300018e+00	2.23123530e+00
9.08500004e+00	2.55360340e+00
9.08699989e+00	2.68603400e+00
9.08899975e+00	2.74826600e+00
9.09099960e+00	2.81099250e+00
9.09300041e+00	2.87957140e+00
9.09500027e+00	2.91876390e+00
9.09700012e+00	2.87290930e+00
9.09899998e+00	2.58710310e+00
9.10099983e+00	1.89604390e+00
9.10299969e+00	1.49091910e+00
9.10499954e+00	1.94351970e+00
9.10700035e+00	2.15729950e+00
9.10900021e+00	2.62460230e+00
9.11100006e+00	2.62444470e+00
9.11299992e+00	2.36994430e+00
9.11499977e+00	2.30102900e+00
9.11699963e+00	1.73167920e+00
9.11900043e+00	1.46335030e+00
9.12100029e+00	1.66308810e+00
9.12300014e+00	1.35179920e+00
9.12500000e+00	1.53723760e+00
9.12699986e+00	1.42235120e+00
9.12899971e+00	1.52131610e+00
9.13099957e+00	1.13499750e+00
9.13300037e+00	1.51410450e+00
9.13500023e+00	2.12981250e+00
9.13700008e+00	2.38729290e+00
9.13899994e+00	2.30278800e+00
9.14099979e+00	1.84492870e+00
9.14299965e+00	1.31558980e+00
9.14500046e+00	1.76082920e+00
9.14700031e+00	2.31386420e+00
9.14900017e+00	2.32642360e+00
9.15100002e+00	1.83622310e+00
9.15299988e+00	2.01918720e+00
9.15499973e+00	2.20805120e+00
9.15699959e+00	1.74887700e+00
9.15900040e+00	1.25401120e+00
9.16100025e+00	1.69519160e+00
9.16300011e+00	2.21059060e+00
9.16499996e+00	2.29345610e+00
9.16699982e+00	2.27663590e+00
9.16899967e+00	2.36863470e+00
9.17099953e+00	2.08306460e+00
9.17300034e+00	1.39834280e+00
9.17500019e+00	1.52736140e+00
9.17700005e+00	1.47923670e+00
9.17899990e+00	9.63065620e-01
9.18099976e+00	1.05141370e+00
9.18299961e+00	1.63638040e+00
9.18500042e+00	2.04262500e+00
9.18700027e+00	2.17587880e+00
9.18900013e+00	2.05157660e+00
9.19099998e+00	1.55075450e+00
9.19299984e+00	1.44848790e+00
9.19499969e+00	1.52204420e+00
9.19699955e+00	9.15289040e-01
9.19900036e+00	9.40671270e-01
9.20100021e+00	1.47469940e+00
9.20300007e+00	1.43756780e+00
9.20499992e+00	1.10931180e+00
9.20699978e+00	1.19499210e+00
9.20899963e+00	1.35372640e+00
9.21100044e+00	1.28778040e+00
9.21300030e+00	1.12075780e+00
9.21500015e+00	8.99125100e-01
9.21700001e+00	6.24047400e-01
9.21899986e+00	3.62619100e-01
9.22099972e+00	3.69411170e-01
9.22299957e+00	5.90261760e-01
9.22500038e+00	8.88964830e-01
9.22700024e+00	1.14739980e+00
9.22900009e+00	1.34391050e+00
9.23099995e+00	1.47131550e+00
9.23299980e+00	1.47356920e+00
9.23499966e+00	1.66196060e+00
9.23700047e+00	1.86413030e+00
9.23900032e+00	1.97048410e+00
9.24100018e+00	1.97389790e+00
9.24300003e+00	1.61677930e+00
9.24499989e+00	1.41897400e+00
9.24699974e+00	1.67571220e+00
9.24899960e+00	2.13471580e+00
9.25100040e+00	2.32307030e+00
9.25300026e+00	2.13604780e+00
9.25500011e+00	1.69882790e+00
9.25699997e+00	2.11976410e+00
9.25899982e+00	2.41722510e+00
9.26099968e+00	2.41284230e+00
9.26299953e+00	2.06787710e+00
9.26500034e+00	1.59219730e+00
9.26700020e+00	1.31982580e+00
9.26900005e+00	1.09489540e+00
9.27099991e+00	1.97767080e+00
9.27299976e+00	2.48142500e+00
9.27499962e+00	2.51734500e+00
9.27700043e+00	2.39666800e+00
9.27900028e+00	2.44311980e+00
9.28100014e+00	2.41084530e+00
9.28299999e+00	2.32759240e+00
9.28499985e+00	2.12190510e+00
9.28699970e+00	1.87154560e+00
9.28899956e+00	1.74282480e+00
9.29100037e+00	1.30661460e+00
9.29300022e+00	7.34305800e-01
9.29500008e+00	5.70689860e-01
9.29699993e+00	8.50776850e-01
9.29899979e+00	1.00404690e+00
9.30099964e+00	9.55526530e-01
9.30300045e+00	1.41579970e+00
9.30500031e+00	1.55656390e+00
9.30700016e+00	1.29222050e+00
9.30900002e+00	7.99584750e-01
9.31099987e+00	9.12526670e-01
9.31299973e+00	1.35840270e+00
9.31499958e+00	1.25199830e+00
9.31700039e+00	1.41082560e+00
9.31900024e+00	1.67737330e+00
9.32100010e+00	1.30810050e+00
9.32299995e+00	9.54869030e-01
